frame_idx,FirstFrame_sim,EndFrame_sim
1,0.2077,0.2773
2,0.1928,0.2639
3,0.1817,0.2498
4,0.1805,0.2416
5,0.1812,0.2426
6,0.1840,0.2463
7,0.1769,0.2368
8,0.1790,0.2355
9,0.1813,0.2391
10,0.1786,0.2340
11,0.1788,0.2319
12,0.1914,0.2460
13,0.2190,0.2829
0,0.2333,0.3673
1,0.2917,0.5214
2,0.2891,0.5376
3,0.2990,0.5531
4,0.2938,0.5477
5,0.2991,0.5554
6,0.3059,0.5644
7,0.3088,0.5670
8,0.3143,0.5749
9,0.3191,0.5843
10,0.3194,0.5832
11,0.3158,0.5765
12,0.3188,0.5785
13,0.2997,0.4775
0,0.2503,0.4474
1,0.2776,0.4699
2,0.3472,0.5897
3,0.3127,0.5298
4,0.3537,0.6091
5,0.3014,0.5159
6,0.3548,0.6153
7,0.3034,0.5262
8,0.3705,0.6351
9,0.3206,0.5464
10,0.3412,0.5963
11,0.3003,0.5160
12,0.3503,0.6032
13,0.2857,0.5032
0,0.6400,0.9019
1,0.7837,1.1102
2,0.7324,1.0338
3,0.7342,1.0348
4,0.6946,0.9800
5,0.7552,1.0717
6,0.6789,0.9568
7,0.7539,1.0699
8,0.6782,0.9564
9,0.7175,1.0120
10,0.6757,0.9551
11,0.7606,1.0773
12,0.6792,0.9554
13,0.6763,0.9646
0,0.5059,0.9392
1,0.3960,0.7682
2,0.2119,0.5001
3,0.4194,0.7981
4,0.0816,0.2918
5,0.4964,0.9388
6,0.0677,0.2940
7,0.4984,0.9508
8,0.0945,0.3344
9,0.3251,0.6968
10,0.0616,0.3078
11,0.4715,0.9320
12,0.1824,0.5119
13,0.6512,1.2041
0,0.6684,1.0072
1,0.8233,1.2133
2,0.6865,1.0026
3,0.7482,1.0846
4,0.6328,0.9052
5,0.7592,1.1179
6,0.6332,0.9137
7,0.7503,1.1065
8,0.6364,0.9228
9,0.6970,1.0096
10,0.5779,0.8211
11,0.7499,1.0889
12,0.5452,0.7908
13,0.6019,0.8782
0,-0.1002,-0.0490
1,-0.0638,-0.0147
2,-0.0503,0.0035
3,-0.0731,-0.0277
4,-0.1026,-0.0660
5,-0.0562,-0.0072
6,-0.0998,-0.0558
7,-0.0405,0.0157
8,-0.1039,-0.0633
9,-0.1261,-0.0970
10,-0.1079,-0.0726
11,-0.0725,-0.0344
12,-0.0809,-0.0281
13,-0.1894,-0.2229
0,0.6088,0.9372
1,0.6003,0.8904
2,0.4672,0.7551
3,0.5812,0.8786
4,0.4854,0.7868
5,0.6655,0.9926
6,0.4755,0.7841
7,0.6529,0.9702
8,0.4925,0.8101
9,0.5670,0.8667
10,0.4689,0.7616
11,0.6725,1.0093
12,0.5404,0.8714
13,0.5816,0.8572
0,0.2735,0.5384
1,0.1305,0.4087
2,0.1696,0.4074
3,0.1587,0.4306
4,0.1771,0.4051
5,0.1650,0.4342
6,0.1558,0.3582
7,0.1590,0.4215
8,0.1748,0.3637
9,0.1771,0.4178
10,0.1603,0.3708
11,0.1426,0.3822
12,0.2059,0.3972
13,0.2218,0.4607
0,0.2099,0.4984
1,0.1131,0.3882
2,0.1584,0.4505
3,0.1359,0.4102
4,0.1395,0.4313
5,0.1363,0.4066
6,0.1575,0.4451
7,0.1449,0.4124
8,0.1800,0.4702
9,0.1489,0.4140
10,0.1632,0.4438
11,0.1533,0.4242
12,0.2123,0.5120
13,0.2190,0.4729
0,0.1187,0.2390
1,0.1680,0.3010
2,0.1631,0.2924
3,0.1633,0.2980
4,0.1546,0.2852
5,0.1469,0.2832
6,0.1489,0.2805
7,0.1529,0.2899
8,0.1402,0.2735
9,0.1422,0.2821
10,0.1550,0.2902
11,0.1435,0.2878
12,0.1368,0.2690
13,0.1387,0.2812
0,0.0941,0.2027
1,0.0933,0.2202
2,0.0648,0.1835
3,0.0722,0.1967
4,0.0655,0.1847
5,0.0902,0.2206
6,0.0616,0.1786
