frame_idx,FirstFrame_sim,EndFrame_sim
1,0.1525,-0.0030
2,0.1458,0.0025
3,0.1506,0.0102
4,0.1418,0.0111
5,0.1409,0.0109
6,0.1403,0.0106
7,0.1495,0.0180
8,0.1466,0.0212
9,0.1466,0.0205
10,0.1478,0.0237
11,0.1513,0.0229
12,0.1481,0.0233
13,0.0440,-0.0565
0,0.1286,0.0442
1,0.2385,0.1199
2,0.2322,0.1139
3,0.2327,0.1108
4,0.2318,0.1120
5,0.2444,0.1196
6,0.2411,0.1206
7,0.2505,0.1262
8,0.2460,0.1226
9,0.2601,0.1318
10,0.2561,0.1342
11,0.2608,0.1350
12,0.2609,0.1388
13,0.1677,0.0698
0,-0.0142,0.0101
1,-0.1476,-0.0962
2,-0.0529,-0.0313
3,-0.1059,-0.0621
4,-0.0323,-0.0148
5,-0.1500,-0.0918
6,-0.0129,0.0014
7,-0.1468,-0.0998
8,-0.0166,-0.0024
9,-0.0990,-0.0559
10,-0.0184,-0.0030
11,-0.1448,-0.0931
12,-0.0232,-0.0020
13,0.0087,0.0273
0,0.0847,-0.1366
1,0.1205,-0.1359
2,0.0864,-0.1526
3,0.0952,-0.1479
4,0.0793,-0.1468
5,0.1126,-0.1374
6,0.0762,-0.1408
7,0.1007,-0.1431
8,0.0742,-0.1403
9,0.0827,-0.1458
10,0.0700,-0.1438
11,0.1128,-0.1343
12,0.0714,-0.1418
13,0.0988,-0.1370
0,0.9144,1.0762
1,0.9029,1.0678
2,0.7400,0.9062
3,0.8976,0.9926
4,0.6898,0.8371
5,0.9201,0.9920
6,0.6552,0.8300
7,0.8965,0.9781
8,0.5999,0.7790
9,0.7938,0.8997
10,0.5219,0.7386
11,0.8713,0.9296
12,0.5590,0.7778
13,1.0000,1.0656
0,0.3982,0.5475
1,0.5795,0.6783
2,0.3820,0.5883
3,0.4945,0.6429
4,0.3389,0.5665
5,0.5225,0.6484
6,0.3606,0.5726
7,0.5035,0.6344
8,0.3860,0.5871
9,0.4465,0.6016
10,0.3513,0.5674
11,0.5258,0.6298
12,0.2612,0.4791
13,0.4210,0.5200
0,-0.0579,0.1013
1,-0.0739,0.1097
2,0.0083,0.0994
3,-0.0672,0.1060
4,-0.0210,0.1008
5,-0.0630,0.1192
6,-0.0155,0.0970
7,-0.0578,0.1212
8,-0.0253,0.0953
9,-0.0650,0.1009
10,-0.0054,0.1008
11,-0.0502,0.1169
12,0.0339,0.0959
13,-0.1033,0.0863
0,0.2846,0.3806
1,0.3109,0.4086
2,0.2648,0.3781
3,0.2832,0.3942
4,0.2982,0.4254
5,0.3117,0.4342
6,0.3151,0.4493
7,0.2983,0.4205
8,0.3093,0.4411
9,0.2803,0.4034
10,0.2435,0.3820
11,0.3169,0.4350
12,0.2927,0.4173
13,0.2973,0.4043
0,0.0632,0.0725
1,0.0599,0.0849
2,0.0283,0.0568
3,0.0827,0.0978
4,0.0272,0.0691
5,0.0757,0.0886
6,0.0171,0.0610
7,0.0676,0.0893
8,0.0105,0.0532
9,0.0400,0.0739
10,0.0158,0.0686
11,0.0474,0.0881
12,0.0145,0.0448
13,0.0608,0.0738
0,0.2823,0.2440
1,0.2476,0.2167
2,0.2699,0.2216
3,0.2457,0.2094
4,0.2611,0.2113
5,0.2445,0.2035
6,0.2555,0.2098
7,0.2449,0.2083
8,0.2784,0.2291
9,0.2504,0.2164
10,0.2679,0.2345
11,0.2638,0.2230
12,0.3158,0.2712
13,0.2689,0.2451
0,0.1569,0.0890
1,0.1846,0.0921
2,0.1846,0.1055
3,0.1701,0.0775
4,0.1742,0.0953
5,0.1688,0.0698
6,0.1709,0.0885
7,0.1741,0.0763
8,0.1773,0.0947
9,0.1770,0.0813
10,0.1800,0.0958
11,0.1793,0.0825
12,0.1938,0.1162
13,0.1734,0.0941
0,0.0370,-0.0515
1,0.0677,-0.0512
2,0.0718,-0.0349
3,0.0651,-0.0507
4,0.0689,-0.0390
5,0.0688,-0.0525
6,0.0620,-0.0481
7,0.0746,-0.0454
8,0.0668,-0.0420
9,0.0608,-0.0625
10,0.0583,-0.0546
11,0.0620,-0.0581
12,0.0518,-0.0551
13,0.0757,-0.0367
0,0.1198,0.0996
1,0.1434,0.1048
2,0.1751,0.1310
3,0.1618,0.1201
4,0.1831,0.1347
5,0.1617,0.1130
6,0.1808,0.1302
7,0.1510,0.1050
8,0.1838,0.1228
9,0.1630,0.1137
10,0.1739,0.1236
11,0.1577,0.1073
12,0.1784,0.1221
13,0.1084,0.0903
0,0.2490,0.1030
1,0.2711,0.1204
2,0.2563,0.1038
3,0.2577,0.1048
4,0.2541,0.0987
5,0.2666,0.1094
6,0.2493,0.0927
7,0.2667,0.1080
8,0.2414,0.0841
9,0.2565,0.1029
