frame_idx,FirstFrame_sim,EndFrame_sim
1,0.1172,0.0447
2,0.1167,0.0397
3,0.0925,0.0211
4,0.0911,0.0219
5,0.0814,0.0144
6,0.0931,0.0222
7,0.0697,0.0013
8,0.0806,0.0106
9,0.0849,0.0151
10,0.0780,0.0081
11,0.0577,-0.0122
12,0.0917,0.0197
13,0.3774,0.3417
0,0.3194,0.2528
1,0.6232,0.4708
2,0.6464,0.4952
3,0.6571,0.5015
4,0.6507,0.4995
5,0.6704,0.5134
6,0.6669,0.5155
7,0.6789,0.5196
8,0.6854,0.5290
9,0.6985,0.5347
10,0.6807,0.5254
11,0.6878,0.5300
12,0.6959,0.5478
13,0.6760,0.5385
0,0.3775,0.2787
1,0.4000,0.3284
2,0.5186,0.4269
3,0.4338,0.3457
4,0.5511,0.4431
5,0.4127,0.3282
6,0.5618,0.4523
7,0.4248,0.3408
8,0.5686,0.4567
9,0.4484,0.3525
10,0.5384,0.4321
11,0.4297,0.3415
12,0.5452,0.4283
13,0.4256,0.3254
0,0.5437,0.1767
1,0.6218,0.2021
2,0.5861,0.1849
3,0.6000,0.1934
4,0.5631,0.1745
5,0.6200,0.1994
6,0.5535,0.1718
7,0.6132,0.1959
8,0.5492,0.1689
9,0.5916,0.1932
10,0.5508,0.1676
11,0.6175,0.2054
12,0.5416,0.1697
13,0.5931,0.1892
0,0.6723,0.5068
1,0.6752,0.5387
2,0.4377,0.2961
3,0.6231,0.4890
4,0.3245,0.1673
5,0.6279,0.4915
6,0.2663,0.1094
7,0.6088,0.4769
8,0.2482,0.0966
9,0.6241,0.4607
10,0.2077,0.0561
11,0.5950,0.4498
12,0.1918,0.0315
13,0.6568,0.4797
0,0.4266,0.5244
1,0.5328,0.6546
2,0.3806,0.5221
3,0.4721,0.6037
4,0.3480,0.4872
5,0.5046,0.6262
6,0.3562,0.4918
7,0.5093,0.6307
8,0.3718,0.5040
9,0.4500,0.5731
10,0.3532,0.4904
11,0.5196,0.6397
12,0.3373,0.4641
13,0.3737,0.4892
0,-0.0943,-0.1972
1,-0.0837,-0.1928
2,-0.0430,-0.1101
3,-0.0655,-0.1648
4,-0.0344,-0.1008
5,-0.0563,-0.1574
6,-0.0253,-0.0889
7,-0.0596,-0.1626
8,-0.0262,-0.0938
9,-0.0500,-0.1424
10,-0.0305,-0.0961
11,-0.0686,-0.1711
12,-0.0330,-0.0852
13,-0.1025,-0.1787
0,0.4237,0.2559
1,0.3620,0.1815
2,0.3150,0.1513
3,0.3526,0.1971
4,0.3097,0.1512
5,0.4155,0.2431
6,0.3176,0.1561
7,0.3996,0.2295
8,0.3241,0.1697
9,0.3633,0.2046
10,0.2500,0.1047
11,0.4175,0.2467
12,0.3030,0.1531
13,0.2992,0.1477
0,0.3316,0.3330
1,0.2333,0.2440
2,0.1256,0.1588
3,0.2463,0.2600
4,0.0994,0.1413
5,0.2564,0.2632
6,0.0919,0.1341
7,0.2268,0.2380
8,0.1005,0.1434
9,0.2207,0.2328
10,0.0734,0.1106
11,0.2461,0.2511
12,0.1623,0.1951
13,0.1620,0.1936
0,0.2960,0.2481
1,0.2598,0.2038
2,0.2254,0.1832
3,0.2237,0.1696
4,0.1910,0.1511
5,0.2202,0.1716
6,0.1876,0.1470
7,0.2137,0.1629
8,0.2078,0.1674
9,0.1737,0.1294
10,0.1799,0.1397
11,0.1953,0.1460
12,0.2340,0.1915
13,0.1806,0.1387
0,0.3323,0.2509
1,0.3617,0.2791
2,0.3950,0.3097
3,0.3714,0.2861
4,0.4010,0.3147
5,0.3643,0.2783
6,0.4097,0.3222
7,0.3539,0.2656
8,0.4020,0.3157
9,0.3624,0.2726
10,0.3977,0.3098
11,0.3643,0.2798
12,0.4063,0.3225
13,0.3749,0.2852
0,0.4338,0.3375
1,0.4862,0.3824
2,0.4974,0.3761
3,0.5034,0.3821
4,0.4947,0.3703
5,0.5133,0.3925
6,0.5078,0.3779
7,0.5130,0.3957
8,0.5041,0.3705
9,0.5126,0.3845
10,0.5042,0.3760
11,0.5191,0.3926
12,0.5166,0.3874
13,0.5193,0.3948
0,0.2882,0.2415
1,0.3351,0.2943
2,0.3805,0.3340
3,0.3653,0.3227
4,0.4011,0.3465
5,0.3853,0.3409
6,0.4061,0.3480
7,0.3880,0.3436
8,0.4048,0.3471
9,0.3731,0.3237
10,0.3731,0.3181
11,0.3628,0.3165
12,0.3786,0.3180
13,0.3127,0.2689
0,0.3418,0.2089
1,0.3863,0.2361
2,0.3787,0.2323
3,0.3748,0.2239
4,0.3671,0.2177
5,0.3821,0.2258
6,0.3680,0.2198
7,0.3802,0.2247
8,0.3575,0.2102
9,0.3619,0.2080
10,0.3599,0.2062
11,0.3708,0.2165
12,0.3551,0.2050
13,0.3486,0.1913
0,0.3922,0.3133
1,0.4312,0.3466
2,0.4275,0.3424
3,0.4274,0.3380
4,0.4279,0.3396
5,0.4300,0.3378
6,0.4285,0.3404
7,0.4282,0.3350
8,0.4238,0.3366
9,0.4247,0.3336
10,0.4210,0.3346
11,0.4244,0.3350
12,0.4146,0.3336
13,0.3447,0.2716
0,0.3087,0.2846
1,0.4166,0.4447
2,0.4187,0.4487
3,0.4179,0.4487
4,0.4238,0.4553
5,0.4235,0.4560
6,0.4258,0.4582
7,0.4228,0.4539
8,0.4289,0.4592
9,0.4225,0.4526
10,0.4228,0.4525
11,0.4198,0.4497
12,0.4263,0.4553
13,0.3324,0.3049
0,0.3581,0.2651
1,0.1168,0.0443
2,0.1163,0.0393
3,0.0922,0.0207
4,0.0908,0.0216
5,0.0811,0.0140
6,0.0927,0.0218
7,0.0693,0.0009
8,0.0802,0.0102
9,0.0845,0.0147
10,0.0775,0.0076
11,0.0572,-0.0127
12,0.0911,0.0191
13,0.3763,0.3409
0,0.3188,0.2520
1,0.6225,0.4710
2,0.6463,0.4957
3,0.6571,0.5022
4,0.6507,0.4999
5,0.6703,0.5140
6,0.6669,0.5159
7,0.6790,0.5203
8,0.6856,0.5294
9,0.6985,0.5351
10,0.6807,0.5258
11,0.6878,0.5305
12,0.6966,0.5485
13,0.6768,0.5387
0,0.3814,0.2811
1,0.4066,0.3345
2,0.5223,0.4309
3,0.4378,0.3500
4,0.5561,0.4483
5,0.4158,0.3316
6,0.5660,0.4569
7,0.4293,0.3457
8,0.5734,0.4619
9,0.4536,0.3577
10,0.5447,0.4384
11,0.4351,0.3466
12,0.5507,0.4336
13,0.4347,0.3325
0,0.5426,0.1766
1,0.6183,0.2009
2,0.5824,0.1830
3,0.5962,0.1911
4,0.5594,0.1726
5,0.6163,0.1968
6,0.5502,0.1702
7,0.6102,0.1936
8,0.5463,0.1675
9,0.5888,0.1913
10,0.5476,0.1661
11,0.6140,0.2028
12,0.5387,0.1684
13,0.5913,0.1882
0,0.6763,0.5112
1,0.6755,0.5403
2,0.4381,0.2980
3,0.6204,0.4872
4,0.3355,0.1795
5,0.6252,0.4901
6,0.2828,0.1275
7,0.6091,0.4788
8,0.2697,0.1189
9,0.6223,0.4602
10,0.2228,0.0730
11,0.5957,0.4515
12,0.2203,0.0603
13,0.6534,0.4758
0,0.4284,0.5251
1,0.5354,0.6562
2,0.3860,0.5282
3,0.4758,0.6073
4,0.3583,0.4984
5,0.5080,0.6295
6,0.3687,0.5050
7,0.5119,0.6333
8,0.3855,0.5183
9,0.4554,0.5787
10,0.3663,0.5039
11,0.5223,0.6429
12,0.3538,0.4815
13,0.3759,0.4906
0,-0.0918,-0.1937
1,-0.0794,-0.1876
2,-0.0388,-0.1046
3,-0.0612,-0.1591
4,-0.0289,-0.0930
5,-0.0519,-0.1515
6,-0.0191,-0.0803
7,-0.0552,-0.1568
8,-0.0207,-0.0868
9,-0.0448,-0.1359
10,-0.0248,-0.0892
11,-0.0643,-0.1653
12,-0.0286,-0.0801
13,-0.0995,-0.1752
0,0.4334,0.2637
1,0.3723,0.1902
2,0.3266,0.1611
3,0.3621,0.2049
4,0.3204,0.1596
5,0.4256,0.2510
6,0.3281,0.1643
7,0.4118,0.2391
8,0.3363,0.1792
9,0.3755,0.2143
10,0.2645,0.1162
11,0.4267,0.2542
12,0.3192,0.1644
13,0.3087,0.1548
0,0.3448,0.3458
1,0.2455,0.2547
2,0.1345,0.1657
3,0.2582,0.2698
4,0.1084,0.1476
5,0.2666,0.2713
6,0.1014,0.1403
7,0.2368,0.2461
8,0.1093,0.1492
9,0.2323,0.2425
10,0.0838,0.1180
11,0.2560,0.2592
12,0.1716,0.2025
13,0.1705,0.2017
0,0.2954,0.2479
1,0.2614,0.2053
2,0.2272,0.1849
3,0.2253,0.1711
4,0.1910,0.1505
5,0.2209,0.1719
6,0.1908,0.1493
7,0.2155,0.1643
8,0.2107,0.1694
9,0.1762,0.1313
10,0.1804,0.1396
11,0.1971,0.1476
12,0.2379,0.1949
13,0.1820,0.1399
0,0.3323,0.2510
1,0.3610,0.2786
2,0.3946,0.3094
3,0.3712,0.2863
4,0.4013,0.3149
5,0.3639,0.2783
6,0.4088,0.3213
7,0.3531,0.2652
8,0.4016,0.3151
9,0.3621,0.2726
10,0.3973,0.3093
11,0.3644,0.2800
12,0.4051,0.3210
13,0.3752,0.2859
0,0.4341,0.3375
1,0.4857,0.3818
2,0.4970,0.3762
3,0.5028,0.3818
4,0.4923,0.3684
5,0.5133,0.3929
6,0.5031,0.3736
7,0.5102,0.3934
8,0.5031,0.3694
9,0.5109,0.3832
10,0.5032,0.3751
11,0.5184,0.3921
12,0.5113,0.3833
13,0.5173,0.3931
0,0.2868,0.2401
1,0.3355,0.2945
2,0.3804,0.3337
3,0.3655,0.3226
4,0.4007,0.3462
5,0.3849,0.3405
6,0.4044,0.3470
7,0.3868,0.3425
8,0.4038,0.3466
9,0.3728,0.3235
10,0.3709,0.3165
11,0.3625,0.3160
12,0.3774,0.3168
13,0.3095,0.2658
0,0.3413,0.2087
1,0.3847,0.2351
2,0.3773,0.2310
3,0.3736,0.2230
4,0.3664,0.2169
5,0.3814,0.2258
6,0.3669,0.2187
7,0.3804,0.2245
8,0.3590,0.2115
9,0.3612,0.2076
10,0.3581,0.2064
11,0.3697,0.2156
12,0.3564,0.2078
13,0.3467,0.1899
0,0.3903,0.3116
1,0.4299,0.3457
2,0.4269,0.3418
3,0.4269,0.3375
4,0.4267,0.3383
5,0.4293,0.3370
6,0.4267,0.3387
7,0.4275,0.3345
8,0.4223,0.3355
9,0.4238,0.3329
10,0.4198,0.3336
11,0.4236,0.3346
12,0.4123,0.3312
13,0.3412,0.2689
0,0.3088,0.2846
1,0.4165,0.4449
2,0.4188,0.4490
3,0.4176,0.4487
4,0.4233,0.4552
5,0.4232,0.4559
6,0.4251,0.4579
7,0.4221,0.4532
8,0.4283,0.4588
9,0.4222,0.4523
10,0.4226,0.4525
11,0.4197,0.4497
12,0.4260,0.4554
13,0.3314,0.3038
0,0.3574,0.2643
1,0.1164,0.0439
2,0.1158,0.0389
3,0.0918,0.0203
4,0.0905,0.0213
5,0.0808,0.0136
6,0.0923,0.0213
7,0.0689,0.0005
8,0.0798,0.0098
9,0.0840,0.0142
10,0.0770,0.0071
11,0.0566,-0.0133
12,0.0905,0.0185
13,0.3754,0.3404
0,0.3183,0.2513
1,0.6221,0.4713
2,0.6464,0.4965
3,0.6573,0.5030
4,0.6508,0.5005
5,0.6703,0.5147
6,0.6670,0.5164
7,0.6793,0.5212
8,0.6858,0.5299
9,0.6985,0.5355
10,0.6809,0.5262
11,0.6879,0.5312
12,0.6974,0.5493
13,0.6773,0.5389
0,0.3855,0.2836
1,0.4135,0.3409
2,0.5260,0.4350
3,0.4422,0.3547
4,0.5612,0.4537
5,0.4190,0.3353
6,0.5703,0.4616
7,0.4341,0.3510
8,0.5785,0.4674
9,0.4592,0.3633
10,0.5514,0.4451
11,0.4410,0.3522
12,0.5566,0.4394
13,0.4449,0.3403
0,0.5415,0.1765
1,0.6146,0.1996
2,0.5783,0.1809
3,0.5920,0.1885
4,0.5553,0.1705
5,0.6121,0.1939
6,0.5466,0.1684
7,0.6068,0.1911
8,0.5431,0.1660
9,0.5856,0.1891
10,0.5442,0.1645
11,0.6101,0.1999
12,0.5356,0.1670
13,0.5892,0.1870
0,0.6819,0.5175
1,0.6766,0.5428
2,0.4402,0.3017
3,0.6184,0.4862
4,0.3504,0.1958
5,0.6231,0.4894
6,0.3035,0.1498
7,0.6103,0.4817
8,0.2957,0.1458
9,0.6211,0.4607
10,0.2419,0.0940
11,0.5969,0.4538
12,0.2533,0.0936
13,0.6511,0.4732
0,0.4309,0.5263
1,0.5383,0.6581
2,0.3923,0.5353
3,0.4803,0.6118
4,0.3703,0.5114
5,0.5123,0.6335
6,0.3829,0.5199
7,0.5149,0.6362
8,0.4010,0.5346
9,0.4619,0.5852
10,0.3809,0.5191
11,0.5256,0.6466
12,0.3724,0.5013
13,0.3790,0.4929
0,-0.0885,-0.1893
1,-0.0742,-0.1812
2,-0.0335,-0.0975
3,-0.0558,-0.1518
4,-0.0220,-0.0833
5,-0.0466,-0.1444
6,-0.0113,-0.0697
7,-0.0498,-0.1497
8,-0.0137,-0.0779
9,-0.0385,-0.1279
10,-0.0175,-0.0802
11,-0.0593,-0.1584
12,-0.0229,-0.0734
13,-0.0960,-0.1713
0,0.4439,0.2722
1,0.3833,0.1996
2,0.3395,0.1720
3,0.3726,0.2136
4,0.3324,0.1693
5,0.4367,0.2598
6,0.3403,0.1741
7,0.4249,0.2496
8,0.3500,0.1900
9,0.3888,0.2250
10,0.2805,0.1289
11,0.4364,0.2622
12,0.3372,0.1771
13,0.3195,0.1630
0,0.3591,0.3595
1,0.2588,0.2664
2,0.1444,0.1734
3,0.2712,0.2805
4,0.1191,0.1552
5,0.2777,0.2801
6,0.1128,0.1481
7,0.2479,0.2551
8,0.1195,0.1559
9,0.2445,0.2527
10,0.0959,0.1266
11,0.2666,0.2678
12,0.1828,0.2116
13,0.1798,0.2105
0,0.2944,0.2475
1,0.2633,0.2073
2,0.2294,0.1872
3,0.2270,0.1729
4,0.1915,0.1505
5,0.2216,0.1721
6,0.1938,0.1512
7,0.2180,0.1664
8,0.2151,0.1727
9,0.1804,0.1346
10,0.1815,0.1400
11,0.1993,0.1494
12,0.2427,0.1990
13,0.1838,0.1413
0,0.3319,0.2508
1,0.3601,0.2780
2,0.3937,0.3088
3,0.3710,0.2865
4,0.4015,0.3151
5,0.3636,0.2783
6,0.4086,0.3211
7,0.3523,0.2647
8,0.4014,0.3145
9,0.3618,0.2728
10,0.3968,0.3087
11,0.3645,0.2802
12,0.4038,0.3190
13,0.3753,0.2862
0,0.4346,0.3377
1,0.4852,0.3814
2,0.4965,0.3761
3,0.5022,0.3815
4,0.4920,0.3683
5,0.5121,0.3923
6,0.4989,0.3699
7,0.5066,0.3906
8,0.5017,0.3680
9,0.5091,0.3820
10,0.5012,0.3737
11,0.5178,0.3917
12,0.5062,0.3797
13,0.5154,0.3917
0,0.2857,0.2391
1,0.3363,0.2950
2,0.3805,0.3335
3,0.3659,0.3228
4,0.4014,0.3468
5,0.3841,0.3398
6,0.4028,0.3462
7,0.3855,0.3415
8,0.4032,0.3465
9,0.3728,0.3236
10,0.3692,0.3151
11,0.3621,0.3156
12,0.3769,0.3162
13,0.3063,0.2629
0,0.3410,0.2085
1,0.3830,0.2340
2,0.3764,0.2304
3,0.3724,0.2219
4,0.3670,0.2182
5,0.3808,0.2251
6,0.3591,0.2113
7,0.3807,0.2242
8,0.3582,0.2103
9,0.3611,0.2073
10,0.3541,0.2017
11,0.3692,0.2150
