frame_idx,FirstFrame_sim,EndFrame_sim
1,0.1474,-0.0039
2,0.1426,0.0010
3,0.1464,0.0093
4,0.1367,0.0103
5,0.1372,0.0103
6,0.1361,0.0095
7,0.1459,0.0170
8,0.1431,0.0199
9,0.1437,0.0198
10,0.1463,0.0235
11,0.1505,0.0229
12,0.1466,0.0229
13,0.0391,-0.0604
0,0.1368,0.0415
1,0.2460,0.1180
2,0.2422,0.1169
3,0.2376,0.1124
4,0.2375,0.1124
5,0.2496,0.1215
6,0.2451,0.1240
7,0.2556,0.1286
8,0.2518,0.1265
9,0.2619,0.1324
10,0.2594,0.1361
11,0.2631,0.1353
12,0.2601,0.1400
13,0.1757,0.0763
0,-0.0604,-0.0223
1,-0.1548,-0.1024
2,-0.0525,-0.0248
3,-0.1074,-0.0559
4,-0.0374,-0.0117
5,-0.1474,-0.0814
6,-0.0214,0.0008
7,-0.1574,-0.0962
8,-0.0157,0.0042
9,-0.1073,-0.0517
10,-0.0228,0.0001
11,-0.1603,-0.0925
12,-0.0192,0.0077
13,-0.0164,0.0291
0,0.0850,-0.1268
1,0.1076,-0.1432
2,0.0754,-0.1495
3,0.0855,-0.1513
4,0.0685,-0.1471
5,0.0978,-0.1505
6,0.0661,-0.1443
7,0.0872,-0.1589
8,0.0686,-0.1432
9,0.0786,-0.1554
10,0.0620,-0.1467
11,0.1046,-0.1507
12,0.0645,-0.1476
13,0.0947,-0.1519
0,0.8614,0.9686
1,0.9240,1.0933
2,0.6595,0.8614
3,0.8342,0.9723
4,0.5900,0.8168
5,0.9030,1.0090
6,0.6125,0.8309
7,0.9219,1.0151
8,0.5388,0.7805
9,0.8066,0.9200
10,0.4552,0.7093
11,0.8872,0.9828
12,0.4361,0.7418
13,1.0296,1.1351
0,0.4878,0.5758
1,0.5707,0.6837
2,0.3979,0.6108
3,0.4509,0.6128
4,0.3649,0.5926
5,0.5275,0.6529
6,0.3671,0.5851
7,0.5170,0.6396
8,0.3813,0.5839
9,0.4381,0.5862
10,0.3408,0.5658
11,0.5574,0.6463
12,0.2931,0.5046
13,0.4564,0.5398
0,-0.1324,0.0785
1,-0.1179,0.1020
2,-0.0555,0.0633
3,-0.0921,0.0875
4,-0.0663,0.0689
5,-0.0799,0.1151
6,-0.0659,0.0699
7,-0.0780,0.1193
8,-0.0763,0.0676
9,-0.0972,0.0968
10,-0.0632,0.0737
11,-0.0742,0.1278
12,-0.0083,0.0714
13,-0.1149,0.0658
0,0.3402,0.4374
1,0.3101,0.4218
2,0.2789,0.4005
3,0.3067,0.4020
4,0.2818,0.4084
5,0.3390,0.4325
6,0.2725,0.4051
7,0.3564,0.4381
8,0.2928,0.4217
9,0.3138,0.4119
10,0.2119,0.3548
11,0.3556,0.4480
12,0.2726,0.3942
13,0.3795,0.4580
0,0.0249,0.0388
1,0.0418,0.0563
2,-0.0050,0.0400
3,0.0595,0.0791
4,-0.0062,0.0394
5,0.0760,0.0880
6,-0.0326,0.0192
7,0.0760,0.0841
8,-0.0450,0.0083
9,0.0402,0.0698
10,-0.0324,0.0324
11,0.0608,0.0890
12,-0.0086,0.0179
13,0.0711,0.0581
0,0.3156,0.2712
1,0.2729,0.2291
2,0.2704,0.2221
3,0.2524,0.2050
4,0.2528,0.2067
5,0.2399,0.1919
6,0.2665,0.2151
7,0.2476,0.2017
8,0.3012,0.2443
9,0.2718,0.2214
10,0.2948,0.2579
11,0.2818,0.2299
12,0.3395,0.2954
13,0.3116,0.2714
0,0.1649,0.0999
1,0.1762,0.0977
2,0.1888,0.1102
3,0.1708,0.0812
4,0.1897,0.1089
5,0.1715,0.0749
6,0.1909,0.1076
7,0.1801,0.0902
8,0.1962,0.1123
9,0.1778,0.0784
10,0.1922,0.1076
11,0.1808,0.0825
12,0.1997,0.1211
13,0.1822,0.0941
0,-0.0506,-0.1121
1,0.0503,-0.0563
2,0.0300,-0.0604
3,0.0709,-0.0400
4,0.0359,-0.0625
5,0.0756,-0.0498
6,0.0311,-0.0686
7,0.0842,-0.0403
